"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:AC_DEPRESS" , "*$char* se rapproche subrepticement de *$char*. Après qu'elle s'en soit éloignée, les traits de *$char* s'affaissent..."
"EV:AC_DEPRESS" , "*$char* se rapproche subrepticement de *$char*. Après qu'il s'en soit éloigné, les traits de *$char* se tirent et se creusent..."
"EV:AC_GEN_METAL_FAILED" , "Vous retournez toutes ces piles de machins inutiles mais rien à faire, rien de vraiment intéressant..."
"EV:AC_GEN_METAL_SUCCESS" , "*$char* ressort de son tas de débris l'air ravi, il a fait une trouvaille ! Et hop, un *$item* !"
"EV:AC_GEN_METAL_SUCCESS" , "*$char* ressort de son tas de débris l'air ravi, il a fait une trouvaille ! Et hop, une *$item* !"
"EV:AC_HEAL_ULTIMATE" , "*$char* est entouré d'un halo lumineux. d'horrible tentacules bleues iridescentes parcours son corps. La lumière qu'il émet est aveuglante. Ses blessures sont parfaitement guéries !"
"EV:AC_HEAL_ULTIMATE" , "*$char* est entourée d'un halo lumineux. D'horribles tentacules bleues iridescentes lui courent sur le corps...ses blessures semblent guérir d'elles-même !"
"EV:AC_LAY_DOWN" , "*$char* s'allonge... Ça fait du bien de s'arrêter. Allez direction le pays des rêves !"
"EV:AC_MASS_GGEDON" , "*$char* se raidit soudain... On dirait que des filaments jaunes pourries tortillonant s'échappe de sa combinaison pour pénétrer la coque..."
"EV:AC_MASS_GGEDON_TGT" , "Vous vous sentez mal, une sensation étrange, comme ci tout était couvert de pourriture...votre estomac chavire...vous vous sentez très faible...bluuurrrpp."
"EV:AC_NERON_DEPRESS" , "*$char* a l'air en grand discussion avec...NERON. Mais que peuvent-ils bien se dire ces deux-là ?"
"EV:AC_PUTSCHED" , "*$char* entre en grande discussion avec NERON. Qui sait ce qu'ils peuvent bien se dire…"
"EV:AC_PUT_THROUGHT_DOOR" , "*$char* a fichu *$char* à la porte. Du balai !"
"EV:AC_RETR_COFFEE" , "*$char* amorce la machine. Et dans un grand fracas, la mécanique se lance, les rouages crissent et les arômes embaument la pièce. Ça sent les matins chaleureux sur une terrasse de Vénus. $item !"
"EV:AC_SLIME_TRAP" , "L'espace d'un instant, *$char* met une tape affectueuse à *$char* mais on...dirait qu'une fumée putride est sorti de ses doigts !"
"EV:AC_UP_DRONE" , "*$char* s'acharne un peu sur ce pauvre *$drone_name*. Mais c'est pour son bien. *$drone_name* reçoit l'amélioration *drone_upgrade*."
"EV:AC_WAKE_UP" , "*$char* se lève doucement..."
"EV:ADM_AGGRO" , "Aggresion *$char* envers *$char*"
"EV:ADM_AGGRO" , "Aggresion *$char* envers *$item*"
"EV:ADM_MISSION_ACCEPTED" , "NOPRINT"
"EV:ANALYSE_DONE" , "*$char* a effectué une analyse de $planet_name."
"EV:APRONED" , "C'est dégoûtant... Heureusement que vous aviez votre *$item*..."
"EV:ATCHOUM" , "Atchoum !"
